Cancelled?;streamid;token;cancelable;recipient;sender;starttime;endtime;duration;deposit
YES;1907;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x29e4b1605c33220565b0fd390070858a5cf5c439;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1906;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xcb53ba9684c45f4500868440b5368a962962c7e4;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1905;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xc5a8f37c23b6341a5aef70fe60e7307f58c2537a;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1904;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xbceb0a34bb0d51e6c27f4e7775e7b66c5e748780;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1903;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x8bde37e5edaa107edd7752bcd6b283780617d742;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1902;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x91117f4069ca5fb2d9c3bb493cda821c95b8f591;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1901;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x0b303db501ef33b9c0b6c4eafbd09a92596b1ab9;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1900;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb634b0698e8f6b50f98d86a422572ea38313e954;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1899;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x41fd7e977d1bff866c69486bc171b805a3a9eee5;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1898;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x3baacfa5a545a7f7762909d449081f946b20c0e2;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1897;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x68e923d4fedab4415a4987c67e9aad57a449120c;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1896;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xffcab1ea2a5682bbfbdcafa17e05062e05c78f71;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1895;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xd43ccb35364e06a6911a171436008c2397af2fb3;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1894;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x51110a0ab48e5616db000e22bab1fea8860bf184;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1893;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x145fb2da5d4cd063ed706f81211b961fa729f0a9;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1892;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb317a1abca95356ad7df2fb360a56ab21d295572;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1891;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0xb06ad984bf671dc1f329810c5f7b4e18dfe1b10b;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1890;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x99cd893b5bf1ed6d0f19d62fb0a7b1ba41bc8271;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
YES;1889;0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429;TRUE;0x0f025e9f328691840229cfbc9d27afa36f9c6884;0xbc6eb6f7716fb7ffea19cc4d41d55f37b07b54b2;1741993931;1757545931;15552000;500
